,Num_Topics,Coherence_Score,Perplexity
0,1,0.6975979053382908,-7.201617770483117
1,2,0.6313416905491962,-7.1372630220137045
2,3,0.5861804222422351,-7.177857281220305
3,4,0.638212335495427,-7.229821994704373
4,5,0.6069633201668563,-7.249563134945028
5,6,0.5563352254066585,-7.284909010527909
6,7,0.5432269102549266,-7.31516698615344
7,8,0.5605670122891263,-7.341200169051991
8,9,0.5120402953063388,-7.337542939786407
9,10,0.5289810269999937,-7.357274953751788
10,11,0.46628805528022216,-7.353217580863433
11,12,0.5093639132113202,-7.5373443961818145
12,13,0.48935898672395123,-7.732328535451368
13,14,0.45878183693480284,-7.8578589421675575
14,15,0.4816353491634121,-7.915588005696517
15,16,0.4901198512928935,-7.997436548981217
16,17,0.5003610231377866,-8.054522342617677
17,18,0.47884261661407795,-8.0651255047905
18,19,0.49114410879869896,-8.143276474608507
19,20,0.4409106345154415,-8.168960963808892
20,21,0.45927200963114895,-8.252339332777797
21,22,0.4565656872374287,-8.257825239744703
22,23,0.47765503059754666,-8.324506063969949
23,24,0.46284050490631934,-8.377068985843191
24,25,0.47047671007608705,-8.429948736219293
25,26,0.47732712881312567,-8.472636573594025
26,27,0.4442852284731267,-8.524928342155551
27,28,0.43339885039901366,-8.584154583897947
28,29,0.45059656540622833,-8.618012625847179
29,30,0.4618740697462708,-8.666993794587405
30,31,0.43725079009176526,-8.698478962921188
31,32,0.4512291239418525,-8.791043706372136
32,33,0.43369197765189965,-8.84056819605183
33,34,0.422516504559546,-8.880038330898556
34,35,0.45068474890775756,-8.92706350651392
35,36,0.44300000087129815,-8.96906915182748
36,37,0.42222467568665556,-9.03364574351476
37,38,0.4401160489580943,-9.108966621232845
38,39,0.42681028030424284,-9.124872306281443
